Practice ID,Practice Name,CMMC Domain,Control Description,AZ-104 Exam Domain,AZ-104 Skill,Azure Service(s),NIST 800-171 Ref,Implementation Notes
AC.L1-3.1.1,Authorized Access Control,Access Control,"Limit information system access to authorized users, processes, and devices",Manage Azure Identities and Governance,"Manage Microsoft Entra users and groups; Manage RBAC","Entra ID, Azure RBAC, Conditional Access",3.1.1,Create unique user accounts; assign RBAC with least privilege; require device compliance
AC.L1-3.1.2,Transaction & Function Control,Access Control,"Limit access to the types of transactions and functions authorized users are permitted to execute",Manage Azure Identities and Governance,"Manage RBAC; Manage Azure Policy","Azure RBAC, Azure Policy, PIM",3.1.2,Use function-scoped RBAC roles; apply Azure Policy deny effects; use PIM for JIT access
AC.L2-3.1.3,Control CUI Flow,Access Control,Control the flow of CUI in accordance with approved authorizations,Implement and Manage Virtual Networking,"Configure NSGs; Configure Azure Firewall; Configure Private Endpoints","NSG, Azure Firewall, Private Endpoints, Microsoft Purview",3.1.3,Use NSG rules to restrict inter-subnet flows; use Firewall FQDN filtering; use Private Endpoints; classify CUI with Purview
AC.L2-3.1.4,Separation of Duties,Access Control,"Separate the duties of individuals to reduce the risk of malevolent activity without collusion",Manage Azure Identities and Governance,"Manage RBAC; Configure Entra ID PIM","Azure RBAC, PIM, Azure Policy",3.1.4,Assign different roles to different individuals; use PIM to prevent dual privilege; enforce via Azure Policy
AC.L2-3.1.5,Least Privilege,Access Control,"Employ the principle of least privilege, including for specific security functions and privileged accounts",Manage Azure Identities and Governance,"Manage RBAC; Configure PIM","Azure RBAC, PIM, Entra ID Access Reviews",3.1.5,Audit and remove excessive role assignments; use PIM for JIT; create custom roles with minimal permissions; run periodic Access Reviews
AC.L2-3.1.6,Non-Privileged Account Use,Access Control,Use non-privileged accounts or roles when accessing non-security functions,Manage Azure Identities and Governance,"Manage RBAC; Configure PIM","PIM, Entra ID",3.1.6,Require separate accounts for privileged tasks; use PIM activation for admin roles; default to non-privileged accounts
AC.L2-3.1.7,Privileged Function Logging,Access Control,Prevent non-privileged users from executing privileged functions and capture the execution in audit logs,Monitor and Maintain Azure Resources,"Configure Log Analytics; Configure Azure Monitor","Azure Monitor, Log Analytics, Entra ID Audit Logs",3.1.7,Log all PIM activations; send audit logs to Log Analytics; alert on unauthorized privilege use
AC.L2-3.1.8,Unsuccessful Logon Attempts,Access Control,Limit unsuccessful logon attempts,Manage Azure Identities and Governance,"Configure Entra ID Smart Lockout; Configure Conditional Access","Entra ID Smart Lockout, Conditional Access",3.1.8,Configure Smart Lockout threshold; use Conditional Access to block risky sign-ins; monitor failed sign-in trends
AC.L2-3.1.9,Privacy & Security Notices,Access Control,Provide privacy and security notices consistent with CUI rules before granting access,Manage Azure Identities and Governance,"Configure Conditional Access Terms of Use","Conditional Access (Terms of Use)",3.1.9,Upload ToU document to Entra ID; create Conditional Access policy requiring ToU acceptance; requires Entra ID P1
AC.L2-3.1.10,Session Lock,Access Control,"Use session lock with pattern-hiding displays after a period of inactivity",Manage Azure Identities and Governance,"Configure Conditional Access; Configure Intune","Conditional Access, Intune",3.1.10,Configure screen lock via Intune device compliance policy; enforce lock after 15 minutes of inactivity
AC.L2-3.1.11,Session Termination,Access Control,Terminate (automatically) a user session after a defined condition,Manage Azure Identities and Governance,"Configure Conditional Access sign-in frequency","Conditional Access (sign-in frequency)",3.1.11,Configure Conditional Access sign-in frequency to limit session duration; set token lifetimes via CAE policies
AC.L2-3.1.12,Control Remote Access,Access Control,"Monitor, control, and protect remote access sessions",Implement and Manage Virtual Networking,"Configure Azure VPN Gateway; Configure Azure Bastion","Azure Bastion, VPN Gateway, Conditional Access",3.1.12,Use Azure Bastion for browser-based RDP/SSH; use VPN Gateway for site-to-site; require MFA for all remote access; log Bastion sessions
AC.L2-3.1.13,Remote Access Confidentiality,Access Control,Employ cryptographic mechanisms to protect the confidentiality of remote access sessions,Implement and Manage Virtual Networking,"Configure Azure VPN Gateway; Configure ExpressRoute","VPN Gateway (IPsec/IKEv2), ExpressRoute",3.1.13,Deploy VPN Gateway with IKEv2/SSTP; use ExpressRoute for dedicated private connectivity; enforce TLS for all web-based remote access
AC.L2-3.1.14,Remote Access Routing,Access Control,Route remote access via managed access control points,Implement and Manage Virtual Networking,"Configure VPN Gateway forced tunneling; Configure UDRs","VPN Gateway, Azure Firewall, UDRs",3.1.14,Configure forced tunneling to route all VPN traffic through Azure Firewall; use UDRs to redirect traffic through NVA
AC.L2-3.1.15,Privileged Remote Access,Access Control,Authorize remote execution of privileged commands and access to security-relevant information via remote access,Manage Azure Identities and Governance,"Configure PIM; Configure Azure Bastion","PIM, Azure Bastion, Conditional Access",3.1.15,Require PIM activation for privileged remote tasks; use Azure Bastion with MFA; log all privileged remote sessions
AC.L2-3.1.16,Wireless Access Authorization,Access Control,Authorize wireless access prior to allowing such connections,Manage Azure Identities and Governance,"Manage Entra ID device registrations","Entra ID, Intune",3.1.16,Require device registration before Wi-Fi network access; use Intune Wi-Fi profiles with certificate authentication
AC.L2-3.1.17,Wireless Access Protection,Access Control,Protect wireless access using authentication and encryption,Implement and Manage Virtual Networking,"Configure Azure VPN; Manage network security","Intune (WPA2/3 enforcement), VPN Gateway",3.1.17,Enforce WPA3/WPA2 Enterprise via Intune configuration profiles; require VPN for all wireless corporate access
AC.L2-3.1.18,Mobile Device Connection,Access Control,Control connection of mobile devices,Manage Azure Identities and Governance,"Configure Conditional Access; Configure Intune","Intune, Conditional Access",3.1.18,Require Intune enrollment for mobile devices; block access from non-compliant devices via Conditional Access
AC.L2-3.1.19,Encrypt CUI on Mobile,Access Control,Encrypt CUI on mobile devices and mobile computing platforms,Implement and Manage Storage,"Configure Azure Information Protection; Configure Intune","Azure Information Protection, Intune",3.1.19,Enable device encryption via Intune compliance policy; use Azure Information Protection to classify and protect CUI documents
AC.L2-3.1.20,External System Connections,Access Control,Verify and control/limit connections to external systems,Implement and Manage Virtual Networking,"Configure Azure Firewall; Configure NSGs","Azure Firewall, NSG, Private Link",3.1.20,Use Azure Firewall application rules to control outbound connections; log and review all external connections
AC.L2-3.1.21,Portable Storage Restriction,Access Control,Limit use of portable storage devices on external systems,Manage Azure Identities and Governance,"Configure Intune device restrictions","Intune (device restrictions)",3.1.21,Use Intune device configuration profiles to restrict USB/removable storage; apply policies to all corporate-managed devices
AC.L2-3.1.22,Public-Access System CUI,Access Control,Control CUI posted or processed on publicly accessible systems,Implement and Manage Storage,"Configure Azure Storage access controls; Configure Azure Policy","Azure Policy, Azure Storage (access control)",3.1.22,Apply Azure Policy to prevent public blob access; enforce storage account public access to Disabled; use AIP to prevent CUI labeling on public-facing systems
AT.L2-3.2.1,Role-Based Risk Awareness,Awareness and Training,Ensure managers and users are aware of security risks associated with their activities,Manage Azure Identities and Governance,"Configure Conditional Access Terms of Use","Conditional Access (Terms of Use)",3.2.1,[Partial] Use Conditional Access ToU for policy acknowledgment; deliver security awareness training via LMS platform
AT.L2-3.2.2,Role-Based Training,Awareness and Training,Ensure personnel are trained to carry out assigned security responsibilities before granting access,Manage Azure Identities and Governance,"Configure Entra ID Entitlement Management","Entra ID Entitlement Management",3.2.2,[Partial] Gate resource access on group membership contingent on training completion; use Entitlement Management access packages
AT.L2-3.2.3,Insider Threat Awareness,Awareness and Training,Provide security awareness training on recognizing and reporting potential insider threats,Monitor and Maintain Azure Resources,"Configure Microsoft Sentinel; Monitor user behavior","Microsoft Sentinel (UEBA), Defender for Cloud",3.2.3,[Partial] Enable UEBA in Sentinel for insider threat detection; train users on reporting via external training platform
