Practice ID,Level,CMMC Domain,Practice Name,NIST 800-171 Ref,Azure Service(s),Implementation Status,Assessment Method,Evidence Artifact / Location,Assessor Notes,Finding,POA&M ID
AC.L1-3.1.1,Level 1,Access Control,Authorized Access Control,3.1.1,"Microsoft Entra ID, Azure RBAC, Conditional Access",,,,,,
AC.L1-3.1.2,Level 1,Access Control,Transaction & Function Control,3.1.2,"Azure RBAC, Azure Policy, PIM",,,,,,
AC.L2-3.1.10,Level 2,Access Control,Session Lock,3.1.10,"Conditional Access, Intune",,,,,,
AC.L2-3.1.11,Level 2,Access Control,Session Termination,3.1.11,Conditional Access (sign-in frequency),,,,,,
AC.L2-3.1.12,Level 2,Access Control,Control Remote Access,3.1.12,"Azure Bastion, VPN Gateway, Conditional Access",,,,,,
AC.L2-3.1.13,Level 2,Access Control,Remote Access Confidentiality,3.1.13,"VPN Gateway (IPsec/IKEv2), ExpressRoute",,,,,,
AC.L2-3.1.14,Level 2,Access Control,Remote Access Routing,3.1.14,"VPN Gateway, Azure Firewall, UDRs",,,,,,
AC.L2-3.1.15,Level 2,Access Control,Privileged Remote Access,3.1.15,"PIM, Azure Bastion, Conditional Access",,,,,,
AC.L2-3.1.16,Level 2,Access Control,Wireless Access Authorization,3.1.16,"Entra ID, Intune",,,,,,
AC.L2-3.1.17,Level 2,Access Control,Wireless Access Protection,3.1.17,"Intune (WPA2/3 enforcement), VPN Gateway",,,,,,
AC.L2-3.1.18,Level 2,Access Control,Mobile Device Connection,3.1.18,"Intune, Conditional Access",,,,,,
AC.L2-3.1.19,Level 2,Access Control,Encrypt CUI on Mobile,3.1.19,"Azure Information Protection, Intune",,,,,,
AC.L2-3.1.20,Level 2,Access Control,External System Connections,3.1.20,"Azure Firewall, NSG, Private Link",,,,,,
AC.L2-3.1.21,Level 2,Access Control,Portable Storage Restriction,3.1.21,Intune (device restrictions),,,,,,
AC.L2-3.1.22,Level 2,Access Control,Public-Access System CUI,3.1.22,"Azure Policy, Azure Storage (access control)",,,,,,
AC.L2-3.1.3,Level 2,Access Control,Control CUI Flow,3.1.3,"NSG, Azure Firewall, Private Endpoints, Microsoft Purview",,,,,,
AC.L2-3.1.4,Level 2,Access Control,Separation of Duties,3.1.4,"Azure RBAC, PIM, Azure Policy",,,,,,
AC.L2-3.1.5,Level 2,Access Control,Least Privilege,3.1.5,"Azure RBAC, PIM, Entra ID Access Reviews",,,,,,
AC.L2-3.1.6,Level 2,Access Control,Non-Privileged Account Use,3.1.6,"PIM, Entra ID",,,,,,
AC.L2-3.1.7,Level 2,Access Control,Privileged Function Logging,3.1.7,"Azure Monitor, Log Analytics, Entra ID Audit Logs",,,,,,
AC.L2-3.1.8,Level 2,Access Control,Unsuccessful Logon Attempts,3.1.8,"Entra ID Smart Lockout, Conditional Access",,,,,,
AC.L2-3.1.9,Level 2,Access Control,Privacy & Security Notices,3.1.9,Conditional Access (Terms of Use),,,,,,
AT.L2-3.2.1,Level 2,Awareness and Training,Role-Based Risk Awareness,3.2.1,Conditional Access (Terms of Use),,,,,,
AT.L2-3.2.2,Level 2,Awareness and Training,Role-Based Training,3.2.2,Entra ID Entitlement Management,,,,,,
